student_id,weak_kcs,n_weak,weakest_5,related_kcs
user0,Connected Components;Suffix Array;divide and conquer;geometry;graphs;hashing;string suffix structures;trees,8,string suffix structures;divide and conquer;geometry;Suffix Array;hashing,BFS;DFS;Hash Map;String Matching;binary search;data structures;dp;sortings;strings
user10004,BFS;Dijkstra;Distance Between Points;Tree DP;flows;geometry;graph matchings;graphs;shortest paths,9,graph matchings;Dijkstra;geometry;shortest paths;flows,Graph Representation;Priority Queue;Tree DFS;dp;math
user10019,,0,geometry;Distance Between Points;2D DP;Tree DFS;Prefix Sum,
user10028,Fenwick Tree;String Matching;Suffix Automaton;geometry;hashing;string suffix structures,6,geometry;Suffix Automaton;String Matching;Fenwick Tree;hashing,Hash Map;Z Algorithm;binary search;data structures;sortings;strings
user10031,Orientation Test;geometry;shortest paths,3,geometry;Orientation Test;shortest paths;Hash Map;Priority Queue,Distance Between Points;graphs
user10036,Bitmask Enumeration;bitmasks;chinese remainder theorem;flows;games;geometry;graph matchings;number theory,8,geometry;graph matchings;games;flows;Bitmask Enumeration,Modular Arithmetic;Modular Inverse;brute force;combinatorics;graphs;math;shortest paths
user10047,Binary Search on Answer;Hash Map;binary search;geometry;string suffix structures;ternary search,6,geometry;ternary search;binary search;string suffix structures;Binary Search on Answer,Binary Search on Array;data structures;sortings;strings
user10052,Bipartite Graph Check;Distance Between Points;Ordered Set;Tree DFS;divide and conquer;flows;geometry;graph matchings,8,Distance Between Points;graph matchings;Bipartite Graph Check;geometry;flows,BFS;DFS;data structures;dp;graphs;math;shortest paths
user10059,Binary Search on Array;Priority Queue;flows;geometry;graphs;shortest paths;trees,7,shortest paths;flows;Priority Queue;graphs;Binary Search on Array,Queue;Stack;data structures;sortings
user10073,Hash Map;Max Flow;Shortest Path in DAG;flows;geometry,5,Max Flow;geometry;Hash Map;flows;Shortest Path in DAG,Priority Queue;Topological Sort;data structures;graphs;shortest paths
user10074,Connected Components;DFS;Distance Between Points;Interval DP;Topological Sort;flows;geometry;graph matchings,8,Distance Between Points;geometry;graph matchings;flows;Topological Sort,2D DP;BFS;Graph Representation;graphs;math;shortest paths
user10077,Bipartite Graph Check;Distance Between Points;Hash Map;Ordered Set;geometry,5,geometry;Distance Between Points;Bipartite Graph Check;Hash Map;Ordered Set,BFS;DFS;data structures;math
user10080,Dijkstra;Priority Queue,2,Dijkstra;Priority Queue;geometry;DFS;Graph Representation,Graph Representation;Queue;Stack
user10086,Binary Lifting;Connected Components;Dijkstra;Interval DP;Max Flow;Priority Queue;Segment Tree;Two Pointers on Sorted Array;divide and conquer;flows;geometry;graph matchings;graphs;shortest paths;trees,15,Binary Lifting;divide and conquer;geometry;Dijkstra;Max Flow,2D DP;BFS;DFS;Graph Representation;Queue;Recursion;Sparse Table;Stack;Tree DFS;data structures;dp;sortings
user10090,BFS;Binary Lifting;Distance Between Points;Max Flow;flows;geometry;graph matchings;shortest paths,8,Max Flow;geometry;Distance Between Points;flows;shortest paths,Graph Representation;Priority Queue;Sparse Table;Tree DFS;graphs;math
user10094,2D DP;Multiset;geometry,3,geometry;Multiset;2D DP;dsu;interactive,1D DP;Hash Map;data structures
user10103,Tree DP;flows;shortest paths,3,flows;shortest paths;Tree DP;Max Flow;graph matchings,Tree DFS;dp;graphs
user10119,,0,Tree DP;dsu;2D DP;Suffix Automaton;graphs,
user10149,2-sat;Distance Between Points;Interval DP;Max Flow;flows;geometry,6,geometry;Max Flow;Distance Between Points;flows;Interval DP,2D DP;Priority Queue;Strongly Connected Components;graphs;math;shortest paths
user10153,Max Flow;divide and conquer;flows;graphs,4,Max Flow;flows;graphs;divide and conquer;geometry,Priority Queue;dp;shortest paths
user10155,Brute Force Enumeration;Distance Between Points;Hash Map;Suffix Automaton;binary search;brute force;data structures;dp;flows;geometry;graph matchings;graphs;greedy;shortest paths;string suffix structures;strings;trees,17,string suffix structures;strings;shortest paths;flows;geometry,Recursion;String Matching;Z Algorithm;implementation;math;sortings
user10159,2D DP;Binary Search on Array;Bitmask DP;Bitmask Enumeration;Fast Exponentiation;Hash Map;bitmasks;flows;geometry;string suffix structures;ternary search,11,string suffix structures;Bitmask Enumeration;geometry;Fast Exponentiation;flows,1D DP;Binary Search on Answer;binary search;brute force;data structures;graphs;math;shortest paths;sortings;strings
user10183,Custom Comparator Sorting;graphs;shortest paths,3,shortest paths;graphs;Custom Comparator Sorting;binary search;DP on DAG,sortings
user10206,,0,2D DP;KMP;fft;graphs;hashing,
user10219,DP on DAG;Topological Sort;Tree DP,3,Tree DP;DP on DAG;Topological Sort;geometry;Distance Between Points,Connected Components;DFS;Tree DFS;dp
user10224,,0,Dijkstra;Monotonic Queue;shortest paths;Tree DFS;Tree DP,
user10234,Dijkstra;Meet-in-the-middle;Segment Tree;State Simulation;geometry,5,geometry;Segment Tree;Dijkstra;Meet-in-the-middle;State Simulation,Graph Representation;Priority Queue;Recursion;brute force;data structures;dp
user1024,DP on DAG;Permutations;Priority Queue;Topological Sort;flows;graph matchings;graphs;string suffix structures,8,graph matchings;string suffix structures;flows;Topological Sort;Priority Queue,Connected Components;DFS;Queue;Stack;binary search;dp;math;shortest paths;sortings;strings
user10245,Distance Between Points;Priority Queue;Tree DFS;flows;geometry,5,geometry;flows;Priority Queue;Distance Between Points;Tree DFS,DFS;Queue;Stack;graphs;math;shortest paths
user10254,BFS;Graph Representation;graphs;number theory;shortest paths,5,shortest paths;graphs;number theory;Graph Representation;BFS,math
