student_id,weak_kcs,n_weak,weakest_5
user0,geometry,1,Distance Between Points;geometry;flows;Bipartite Graph Check;dsu
user10004,Dijkstra;Distance Between Points;flows;geometry;graph matchings,5,Polygon Area;Orientation Test;Distance Between Points;geometry;Max Flow
user10019,,0,Distance Between Points;geometry;2D DP;Tree DFS;Prefix Sum
user10028,geometry,1,geometry;graph matchings;flows;dsu;Interval DP
user10031,Orientation Test;geometry,2,Orientation Test;geometry;Priority Queue;Topological Sort;dsu
user10036,flows;geometry;graph matchings,3,Max Flow;graph matchings;geometry;flows;Shortest Path in DAG
user10047,,0,Dijkstra;graph matchings;flows;Tree DFS;ternary search
user10052,Bipartite Graph Check;Distance Between Points;Shortest Path in DAG;flows;geometry;graph matchings,6,Distance Between Points;geometry;graph matchings;Dijkstra;Shortest Path in DAG
user10059,Priority Queue;flows;geometry,3,geometry;Distance Between Points;flows;Priority Queue;Topological Sort
user10073,Max Flow;Shortest Path in DAG;flows;geometry,4,geometry;Max Flow;flows;Shortest Path in DAG;Priority Queue
user10074,Connected Components;DFS;Distance Between Points;Interval DP;Topological Sort;dsu;flows;geometry;graph matchings,9,Polygon Area;Distance Between Points;geometry;graph matchings;Dijkstra
user10077,Bitmask DP;Tree DP;brute force;divide and conquer;dp;fft;two pointers,7,dp;divide and conquer;fft;two pointers;Tree DP
user10080,Dijkstra;Priority Queue,2,geometry;Dijkstra;Priority Queue;dsu;shortest paths
user10086,Dijkstra;Max Flow;Priority Queue;flows;geometry;graph matchings,6,Polygon Area;Orientation Test;Distance Between Points;geometry;Max Flow
user10090,Distance Between Points;Max Flow;flows;geometry;graph matchings,5,Distance Between Points;geometry;graph matchings;Max Flow;Bipartite Graph Check
user10094,,0,Priority Queue;shortest paths;Dijkstra;dsu;Multiset
user10103,Priority Queue;flows,2,geometry;Max Flow;graph matchings;Dijkstra;flows
user10119,,0,dsu;2D DP;Tree DP;Suffix Automaton;hashing
user10149,2-sat;Distance Between Points;Interval DP;Max Flow;Priority Queue;dsu;flows;geometry,8,Distance Between Points;geometry;Max Flow;flows;Priority Queue
