student_id,weak_kcs,n_weak,weakest_5,related_kcs
user0,Bitmask Enumeration;Connected Components;DFS;Longest Common Subsequence;Queue;Suffix Array;divide and conquer;dsu;graphs;hashing;interactive;string suffix structures;strings;trees,14,string suffix structures;hashing;divide and conquer;Suffix Array;graphs,1D DP;BFS;Graph Representation;Hash Map;Simulation;Stack;String Matching;binary search;data structures;dp;math;sortings
user10004,BFS;Binary Search on Array;Distance Between Points;Tree DP;flows;geometry;graph matchings;probabilities;shortest paths,9,graph matchings;shortest paths;flows;probabilities;geometry,Graph Representation;Tree DFS;combinatorics;dp;graphs;math;sortings
user10019,,0,2D DP;geometry;Distance Between Points;strings;Prefix Sum,
user10028,Fenwick Tree;String Matching;Suffix Automaton;geometry;hashing,5,geometry;String Matching;Fenwick Tree;hashing;Suffix Automaton,Hash Map;Z Algorithm;data structures;sortings;strings
user10031,Orientation Test;geometry,2,geometry;Orientation Test;Hash Map;1D DP;Topological Sort,Distance Between Points
user10036,Bitmask Enumeration;bitmasks;chinese remainder theorem;flows;games;geometry;graph matchings;interactive;number theory,9,chinese remainder theorem;games;Bitmask Enumeration;number theory;interactive,Modular Arithmetic;Modular Inverse;Simulation;brute force;combinatorics;graphs;math;shortest paths
user10047,Binary Search on Answer;Binary Search on Array;Dijkstra;Hash Map;Knapsack;Tree DFS;binary search;combinatorics;data structures;dp;graphs;string suffix structures;ternary search;trees,14,ternary search;trees;Tree DFS;Binary Search on Answer;binary search,2D DP;DFS;Graph Representation;Priority Queue;Recursion;brute force;math;sortings;strings
user10052,Distance Between Points;Graph Representation;Hash Map;Ordered Set;dsu;geometry;graph matchings,7,dsu;Graph Representation;geometry;graph matchings;Ordered Set,Queue;Stack;data structures;math
user10059,2D DP;Binary Search on Array;Fast Exponentiation;Graph Representation;Modular Arithmetic;Prime Sieve;Tree DFS;graphs;interactive;probabilities;shortest paths;trees,12,shortest paths;Binary Search on Array;Tree DFS;interactive;trees,1D DP;DFS;GCD;Simulation;combinatorics;data structures;math;sortings
user10073,DFS;Hash Map;Lowest Common Ancestor;Max Flow;Ordered Set;Segment Tree;Tree DFS;games;trees,9,Max Flow;Ordered Set;games;Hash Map;trees,Graph Representation;Priority Queue;Recursion;combinatorics;data structures;graphs;math
user10074,Distance Between Points;Interval DP;geometry;graph matchings,4,graph matchings;Distance Between Points;geometry;Interval DP;Polygon Area,2D DP;math
user10077,Hash Map;Ordered Set;geometry,3,geometry;Ordered Set;Hash Map;Orientation Test;Recursion,data structures
user10080,Edit Distance;Priority Queue,2,Priority Queue;Edit Distance;Bitmask DP;dsu;Tree DFS,2D DP;Longest Common Subsequence;Queue;Stack
user10086,Binary Lifting;Hash Map;Max Flow;Segment Tree;Two Pointers on Sorted Array;divide and conquer;games;geometry;graph matchings,9,Binary Lifting;divide and conquer;geometry;games;Max Flow,Priority Queue;Recursion;Sparse Table;Tree DFS;combinatorics;data structures;dp;graphs;math;sortings
user10090,Binary Lifting;flows;geometry;graph matchings;probabilities;shortest paths,6,graph matchings;flows;shortest paths;Binary Lifting;probabilities,Sparse Table;Tree DFS;combinatorics;graphs
user10094,interactive,1,interactive;2D DP;Multiset;dsu;Coordinate Compression,Simulation
user10103,Monotonic Stack;Segment Tree,2,Segment Tree;Monotonic Stack;Max Flow;geometry;graph matchings,Recursion;Stack;data structures
user10119,,0,Tree DP;2D DP;Prime Factorization;hashing;trees,
user10149,2-sat;Interval DP;Max Flow,3,Max Flow;Interval DP;2-sat;geometry;flows,2D DP;Priority Queue;Strongly Connected Components;graphs
user10153,Hash Map;Max Flow;graphs,3,Max Flow;graphs;Hash Map;geometry;Distance Between Points,Priority Queue;data structures
user10155,Brute Force Enumeration;Distance Between Points;Hash Map;Suffix Automaton;Trie;binary search;brute force;data structures;dp;flows;geometry;graph matchings;graphs;greedy;math;shortest paths;string suffix structures;strings;trees,19,string suffix structures;strings;shortest paths;Hash Map;trees,Recursion;String Matching;Z Algorithm;implementation;sortings
user10159,2D DP;Activity Selection;Binary Search on Array;Bitmask DP;Bitmask Enumeration;Brute Force Enumeration;Fast Exponentiation;Hash Map;Interval Scheduling;Meet-in-the-middle;Permutations;State Simulation;Suffix Array;bitmasks;data structures;dsu;geometry;hashing;string suffix structures;ternary search,20,string suffix structures;Fast Exponentiation;Bitmask Enumeration;Binary Search on Array;Suffix Array,1D DP;Binary Search on Answer;Queue;Recursion;Stack;String Matching;binary search;brute force;dp;math;sortings;strings
user10183,Custom Comparator Sorting;graphs;shortest paths,3,shortest paths;Custom Comparator Sorting;graphs;Combinations;probabilities,sortings
user10206,2D DP,1,2D DP;KMP;dp;hashing;Custom Comparator Sorting,1D DP
user10219,DP on DAG;Stack;Topological Sort;Tree DP,4,Tree DP;DP on DAG;Stack;Topological Sort;geometry,Connected Components;DFS;Tree DFS;dp
user10224,,0,1D DP;Monotonic Queue;combinatorics;Ordered Set;dp,
user10234,Hash Map;Meet-in-the-middle;Prime Sieve;Segment Tree;State Simulation;interactive;probabilities,7,Meet-in-the-middle;Segment Tree;State Simulation;Hash Map;probabilities,Recursion;Simulation;brute force;combinatorics;data structures;dp;math
user1024,1D DP;2D DP;DP on DAG;Fast Exponentiation;Graph Representation;Hash Map;Monotonic Stack;Ordered Set;Permutations;divide and conquer;dsu;flows;graph matchings;graphs;hashing;interactive;string suffix structures,17,string suffix structures;Graph Representation;Permutations;interactive;2D DP,Queue;Recursion;Simulation;Stack;Topological Sort;binary search;data structures;dp;math;shortest paths;sortings;strings
user10245,Distance Between Points;String Matching;geometry;interactive,4,geometry;Distance Between Points;interactive;String Matching;graph matchings,Simulation;data structures;math
user10254,BFS;Combinations;Graph Representation;brute force;combinatorics;constructive algorithms;dsu;graphs;math;number theory;shortest paths;trees,12,shortest paths;number theory;graphs;Graph Representation;BFS,Queue;Stack;data structures;implementation
user10270,,0,BFS;divide and conquer;dsu;shortest paths;geometry,
user10273,Binary Search on Array;Line Intersection;Max Flow;geometry;graph matchings;graphs;hashing;shortest paths,8,geometry;Line Intersection;shortest paths;graphs;graph matchings,Distance Between Points;Hash Map;Orientation Test;Priority Queue;sortings;strings
user10285,2D DP;BFS;DP on DAG;Distance Between Points;Prime Factorization;Priority Queue;State Simulation;Topological Sort;Tree DFS;dp;geometry;graphs;interactive;trees,14,DP on DAG;Topological Sort;interactive;2D DP;Tree DFS,1D DP;Connected Components;DFS;Graph Representation;Prime Sieve;Queue;Recursion;Simulation;Stack;brute force;data structures;math
user10287,Combinations;Modular Combinations,2,Combinations;Modular Combinations;1D DP;combinatorics;geometry,Modular Arithmetic;Modular Inverse;math
user10307,BFS;Knapsack;Max Flow;Strongly Connected Components;flows;geometry;graph matchings,7,graph matchings;geometry;BFS;Max Flow;flows,2D DP;Graph Representation;Priority Queue;graphs;shortest paths
user10314,DP on DAG;Topological Sort;trees,3,DP on DAG;Topological Sort;trees;hashing;Binary Search on Array,Connected Components;DFS;data structures;dp;graphs
user10357,geometry,1,geometry;Line Intersection;Distance Between Points;2D DP;Connected Components,
user1037,2D DP;Expected Value;KMP;Max Flow;Palindrome Detection;combinatorics;flows;graph matchings;hashing;probabilities;string suffix structures;strings,12,probabilities;Expected Value;string suffix structures;combinatorics;hashing,1D DP;Hash Map;Prefix Function;Priority Queue;String Matching;binary search;data structures;graphs;math;shortest paths;sortings
user10371,brute force;constructive algorithms;graphs;number theory;trees,5,number theory;graphs;trees;constructive algorithms;brute force,data structures;implementation;math
user10373,Tree DFS;interactive,2,Tree DFS;interactive;geometry;trees;graphs,DFS;Simulation
user10381,2D DP;Difference Array;Dijkstra;Knapsack;Longest Increasing Subsequence;Suffix Array;dsu;shortest paths;string suffix structures,9,Dijkstra;string suffix structures;Difference Array;dsu;shortest paths,1D DP;Graph Representation;Priority Queue;Queue;Stack;String Matching;binary search;graphs;sortings;strings
