student_id,weak_kcs,n_weak,weakest_5
user0,,0,flows;geometry;Bipartite Graph Check;shortest paths;Interval DP
user10004,Distance Between Points;flows;geometry;graph matchings,4,Orientation Test;geometry;Polygon Area;Max Flow;graph matchings
user10019,,0,geometry;Distance Between Points;2D DP;Tree DFS;dp
user10028,geometry,1,geometry;graph matchings;flows;Interval DP;Lazy Segment Tree
user10031,Orientation Test;geometry,2,geometry;Orientation Test;Priority Queue;Binary Lifting;ternary search
user10036,flows,1,Max Flow;flows;graph matchings;Shortest Path in DAG;geometry
user10047,,0,trees;divide and conquer;flows;shortest paths;probabilities
user10052,geometry,1,geometry;graph matchings;Distance Between Points;flows;Priority Queue
user10059,flows,1,flows;shortest paths;Topological Sort;graphs;ternary search
user10073,Max Flow;flows,2,Max Flow;flows;geometry;Priority Queue;Shortest Path in DAG
user10074,Distance Between Points;geometry;graph matchings,3,Polygon Area;geometry;Distance Between Points;graph matchings;flows
user10077,2D DP;dp,2,dp;2D DP;Interval DP;brute force;geometry
user10080,,0,Priority Queue;Dijkstra;dsu;shortest paths;graphs
user10086,,0,Binary Lifting;flows;Inclusion-Exclusion;Conditional Probability;Max Flow
user10090,,0,geometry;graph matchings;Max Flow;Distance Between Points;flows
user10094,,0,geometry;Binary Search on Answer;Polygon Area;Distance Between Points;Binary Search on Array
user10103,,0,geometry;Max Flow;graph matchings;flows;2-sat
user10119,,0,2D DP;graphs;Tree DP;hashing;dsu
user10149,Distance Between Points;Max Flow;flows;geometry,4,Max Flow;geometry;Distance Between Points;flows;2-sat
user10153,Max Flow;flows,2,Max Flow;geometry;flows;Distance Between Points;Binary Lifting
user10155,geometry,1,geometry;flows;Distance Between Points;graph matchings;Multiset
user10159,Activity Selection;Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;Brute Force Enumeration;Fast Exponentiation;Greedy Sorting;Meet-in-the-middle;Prime Sieve;Recursion;Simulation;binary search;bitmasks;brute force;combinatorics;constructive algorithms;data structures;games;greedy;implementation;math;number theory;probabilities;sortings;ternary search;trees;two pointers,27,brute force;bitmasks;greedy;implementation;Binary Search on Array
user10183,flows,1,flows;dsu;graphs;2D DP;Connected Components
user10206,,0,2D DP;hashing;graphs;KMP;Binary Search on Answer
user10219,,0,ternary search;Binary Search on Answer;geometry;flows;binary search
user10224,,0,Ordered Set;Monotonic Queue;Dijkstra;Tree DFS;hashing
user10234,1D DP;Bitmask Enumeration;Brute Force Enumeration;Hash Map;Meet-in-the-middle;Segment Tree;bitmasks;brute force;data structures;divide and conquer;dp;two pointers,12,brute force;dp;data structures;Meet-in-the-middle;divide and conquer
user1024,flows;graph matchings,2,flows;graph matchings;geometry;Priority Queue;2-sat
user10245,,0,geometry;Distance Between Points;ternary search;Binary Search on Answer;Priority Queue
user10254,brute force;combinatorics;constructive algorithms;data structures;dsu;graphs;greedy;implementation;math;number theory;shortest paths;trees;two pointers,13,graphs;brute force;number theory;math;bitmasks
user10270,,0,geometry;Hash Map;dsu;Connected Components;BFS
user10273,Line Intersection,1,Line Intersection;geometry;Max Flow;graph matchings;flows
user10285,,0,ternary search;Binary Search on Answer;graph matchings;flows;2-sat
