problem_idx,problem_id,b_i,rating,kc_names
0,1440-A,-3.00000000,800,implementation;math;Simulation
1,1440-B,-2.77777778,900,greedy;math;Greedy Sorting
2,1451-A,-3.00000000,800,greedy;math;Greedy Sorting
3,1451-B,-2.77777778,900,dp;greedy;implementation;strings;1D DP;Simulation
4,1451-C,-1.66666667,1400,dp;greedy;hashing;implementation;strings;1D DP;Simulation
5,1451-D,-1.00000000,1700,games;geometry;math;Simulation
6,1455-A,-3.00000000,800,math;number theory;Simulation
7,1455-B,-2.11111111,1200,constructive algorithms;math;Simulation
8,1455-C,-2.33333333,1100,constructive algorithms;games;math;Simulation
9,1455-D,-1.22222222,1600,dp;greedy;sortings;Greedy Sorting
10,1455-E,0.55555556,2400,brute force;constructive algorithms;flows;geometry;greedy;implementation;math;ternary search
11,1469-A,-2.55555556,1000,constructive algorithms;greedy;Greedy Sorting;Simulation
12,1469-B,-2.55555556,1000,dp;greedy;1D DP;Greedy Sorting
13,1469-C,-1.22222222,1600,dp;greedy;implementation;two pointers;1D DP;Greedy Sorting
14,1469-E,0.55555556,2400,bitmasks;brute force;hashing;string suffix structures;strings;two pointers;Bitmask Enumeration;Suffix Array
15,1471-A,-2.77777778,900,greedy;math;number theory;Greedy Sorting;Modular Arithmetic
16,1471-B,-2.33333333,1100,brute force;greedy;implementation;math;Greedy Sorting;Simulation
17,1475-A,-2.77777778,900,math;number theory;Modular Arithmetic;Prime Sieve
18,1475-B,-2.77777778,900,brute force;dp;math;1D DP;Modular Arithmetic
19,1475-C,-1.66666667,1400,combinatorics;graphs;math;Bipartite Graph Check;Combinations
20,1475-D,-0.77777778,1800,binary search;dp;sortings;two pointers;Binary Search on Array;Longest Increasing Subsequence
21,1475-E,-1.22222222,1600,combinatorics;math;sortings;Combinations;GCD
22,1481-A,-3.00000000,800,greedy;strings;Greedy Sorting;String Matching
23,1481-C,-1.22222222,1600,brute force;constructive algorithms;greedy;Greedy Sorting;Simulation
24,1481-B,-2.33333333,1100,brute force;greedy;implementation;Greedy Sorting;Simulation
25,1481-D,-0.33333333,2000,brute force;constructive algorithms;graphs;greedy;implementation;Greedy Sorting;Simulation
26,1494-A,-2.77777778,900,bitmasks;brute force;implementation;Bitmask Enumeration;Simulation
27,1494-B,-1.66666667,1400,bitmasks;brute force;greedy;implementation;Bitmask Enumeration;Greedy Sorting
28,1499-A,-3.00000000,800,combinatorics;constructive algorithms;math;Combinations;Simulation
29,1499-B,-2.55555556,1000,brute force;dp;greedy;implementation;1D DP;Greedy Sorting
30,1499-C,-1.44444444,1500,brute force;data structures;greedy;math;Greedy Sorting;Stack
31,1499-D,-0.11111111,2100,dp;math;number theory;1D DP;GCD
32,1498-A,-3.00000000,800,brute force;math;GCD
33,1498-B,-1.88888889,1300,binary search;bitmasks;data structures;greedy;Binary Search on Array;Bitmask Enumeration
34,1498-C,-1.22222222,1600,brute force;data structures;dp;1D DP;Stack
35,1504-A,-3.00000000,800,constructive algorithms;strings;Simulation;String Matching
36,1504-B,-2.11111111,1200,constructive algorithms;greedy;implementation;math;Greedy Sorting;Simulation
37,1511-A,-3.00000000,800,greedy;Greedy Sorting
38,1511-B,-2.33333333,1100,constructive algorithms;math;number theory;GCD;Simulation
39,1511-C,-2.33333333,1100,brute force;data structures;implementation;trees;Simulation;Stack
40,1514-A,-3.00000000,800,math;number theory;GCD;Prime Sieve
41,1514-B,-2.11111111,1200,bitmasks;combinatorics;math;Bitmask Enumeration;Combinations
42,1514-D,-0.33333333,2000,binary search;data structures;greedy;implementation;sortings;Binary Search on Array;Stack
43,1519-A,-3.00000000,800,math;GCD
44,1519-B,-3.00000000,800,dp;math;1D DP
45,1519-C,-1.66666667,1400,brute force;data structures;greedy;number theory;sortings
46,1519-D,-1.22222222,1600,brute force;dp;implementation;math;two pointers;Two Pointers on Sorted Array
47,1515-A,-3.00000000,800,constructive algorithms;greedy;math;Greedy Sorting;Simulation
48,1515-B,-2.55555556,1000,brute force;geometry;math;number theory;Distance Between Points;GCD
